planta,coletador,local,pais,estado,cidade,latitude,longitude,data
Steinchisma laxum (Sw.) Zuloaga,Antônio Costa Allem,Retiro Chatelodo. Fazenda Alegria.,Brasil,MS,CORUMBA,-19.0091991424561,-57.6533012390137,
Steinchisma laxum (Sw.) Zuloaga,"Longhi-Wagner, HM- Cavalheiro, E",Ilha dos Marinheiros,Brasil,RS,Porto Alegre,-30.0331001281738,-51.2299995422363,05/2005
Steinchisma laxum (Sw.) Zuloaga,"Janssen, AS","Humaitá, Campo I, 500m ao Norte da BR 230, Km 2.",Brasil,Amazonas,Humaitá,-7.516667,-63.166667,06/2014
Steinchisma laxum (Sw.) Zuloaga,"Allem, A- Vieira, G","Fazenda Ipiranga. Em campo baixo, junto a capão de cerradão.",Brasil,Mato Grosso,Poconé,-16.2567005157471,-56.6227989196777,2013
Steinchisma laxum (Sw.) Zuloaga,Antônio Costa Allem,Fazenda Santo Estêvão.,Brasil,MS,CORUMBA,-19.0091991424561,-57.6533012390137,
Steinchisma laxum (Sw.) Zuloaga,"Burman, AG- Sendulsky, T","Serra de Jacuba, 3-5 km ao norte da cidade de Diamantina.",Brasil,Minas Gerais,Diamantina,-18.2493991851807,-43.6002998352051,2013
Steinchisma laxum (Sw.) Zuloaga,"Schinini, A",Ruta 127 y Ayo. Curuzú Cuatiá.,Argentina,Monte Caseros,Corrientes,,,06/2014
Steinchisma laxum (Sw.) Zuloaga,"William R. Anderson|M.T. Stieber|Joseph H. Kirkbride, Jr.","On sandy islands and at edge of river. South-eastern drainage of Pico de Itambé, about 5 km directly west and north of Santo Antonio de Itambé.",Brazil,Minas Gerais,,,,2003
Steinchisma laxum (Sw.) Zuloaga,Agnes Chase,"Steep winding cliff with Agacves etc. Dois Irmaos, Reblon, near Lagoa de Freitas.",Brazil,Rio de Janeiro,,,,2003
Steinchisma laxum (Sw.) Zuloaga,"Allem, A- et al.",Fazenda Santa Delfina,Brasil,MS,Corumbá,-19.0091991424561,-57.6533012390137,05/2005
Steinchisma laxum (Sw.) Zuloaga,"Silva, TS","6 km da Fazenda Bodoquena, no Rumo SE.",Brasil,Mato Grosso do Sul,Miranda,-20.2406005859375,-56.3782997131348,2013
Steinchisma laxum (Sw.) Zuloaga,"Rúgolo, Z- et al.",Camino de Palmas a Ubaldino Taques,Brasil,PR,,,,05/2005
Steinchisma laxum (Sw.) Zuloaga,"Noblick, L.R.- Santos, E",Arredores da UFS. Campus,Brasil,Sergipe,São Cristóvão,-10.924378,-37.101092,14/05/2015
Steinchisma laxum (Sw.) Zuloaga,"Howard S. Irwin|J.W. Grear, Jr.|R. Souza|R. Reis dos Santos","Campo, Fazenda Vargem Bonita, ca. 10 km. S. of Brasilia.",Brazil,Distrito Federal,,,,2003
Steinchisma laxum (Sw.) Zuloaga,"Killeen, T","10 km SE of Concepción, Est. Salta.",Bolívia,Santa Cruz,Ñuflo de Chavez,-16.166667,-62,2013
Steinchisma laxum (Sw.) Zuloaga,"Oliveira, RC- Guimarães, RM- Fagg, CW- Viana, RB- Souza, GF","Parque Nacional de Brasília, abaixo da represa",Brasil,Distrito Federal,Brasília,-15.692222,-47.9525,
Steinchisma laxum (Sw.) Zuloaga,"Campos, C.J.","Rubião Jr., atrás da Igreja Sto. Antonio. Lugar de muita água, quase brejo.",Brasil,São Paulo,Botucatu,-22.8799991607666,-48.439998626709,17/01/1997
Steinchisma laxum (Sw.) Zuloaga,Boris Vassilievich Skvortsov,"Ca. 10 km due south of center of Sao Paulo. Parque do Estado, grounds of the Instituto de Botânica. In black soil of a marsh.",Brazil,São Paulo,,,,2003
Steinchisma laxum (Sw.) Zuloaga,Antônio Costa Allem,10 Km N Amambaí - Amambaí - Ponta Porã.,Brasil,MS,AMAMBAI,-23.1042003631592,-55.2257995605469,
Steinchisma laxum (Sw.) Zuloaga,"Santos, LAS","Vegetação secundária com presença de palmeira, solo argiloso",Brasil,Sergipe,Santa Luzia do Itanhy,-11.378056,-37.424278,20/11/2014
Steinchisma laxum (Sw.) Zuloaga,"Krieger, L",Em terreno úmido e pouco ensolarado.,Brasil,Minas Gerais,São João del Rei,-21.1355991363525,-44.2616996765137,2013
Steinchisma laxum (Sw.) Zuloaga,"Windisch, PG- et al.",Em direção a Nova Roma do Sul,Brasil,RS,Antônio Prado,-28.9,-51.383333,05/2005
Steinchisma laxum (Sw.) Zuloaga,Jason R. Swallen,Wet sandy places along ditch. Carolina.,Brazil,Maranhão,,,,
Steinchisma laxum (Sw.) Zuloaga,"André, C.B.D.S.- Kadowaki, P.G.M.S.- Sousa, N.M.- Urquiza, M.V.S.",Bancada Laterítica do Parque Muninipal Natural de Piraputangas. ilha de solo- Neossolo-.,Brasil,Mato Grosso do Sul,Corumbá,-19.0091991424561,-57.6533012390137,
Steinchisma laxum (Sw.) Zuloaga,"Heringer, EP- et al.",Bacia do Rio S. Bartolomeu.,Brasil,Distrito Federal,Brasília,-15.7797002792358,-47.9296989440918,2013
Steinchisma laxum (Sw.) Zuloaga,"Irwin, HS- et al.",Ca. 15km E of Diamantina,Brasil,Minas Gerais,,,,03/2002
Steinchisma laxum (Sw.) Zuloaga,Ghillean T. Prance|et al.,"First Savanna on Rio Mocooes, Fazenda Fura Olho",Brazil,Pará,,-0.6,-49.61666,
Steinchisma laxum (Sw.) Zuloaga,"Allem, A- et al.",Fazenda Rio Negro,Brasil,MS,Aquidauana,-20.4710998535156,-55.7872009277344,05/2005
Steinchisma laxum (Sw.) Zuloaga,"Baldwin Jr, JT","Rio Negro, mouth of Rio Içana.",Brasil,Amazonas,,,,2013
Steinchisma laxum (Sw.) Zuloaga,"K.Kawakita- Harthman, V.C.- Garcia, J.M.- Santos, L.S.- Rodrigues, S.","rio Baía, ilhota ao lado da ilha do Aurélio",Brasil,Mato Grosso do Sul,Batayporã,-22.2952995300293,-53.2710990905762,09/2013
Steinchisma laxum (Sw.) Zuloaga,R.C.Oliveira- O.F. de Oliveira- J.E. de Araújo- M.L.Silva,"Distrito de Sibaúma., Margem do Rio Catu.",Brasil,Rio Grande do Norte,Tibau do Sul,-6.18666982650757,-35.0918998718262,14/08/2006
Steinchisma laxum (Sw.) Zuloaga,"Longhi-Wagner, HM",estrada para Teresina de Góias à esquerda,Brasil,GO,Alto Paraíso de Goiás,-14.1324996948242,-47.5099983215332,05/2005
Steinchisma laxum (Sw.) Zuloaga,"Viana, PL- Marino, F- Arruda, AJ- Jorge, TB- Meyer, PB","Floresta Nacional de Carajás, N7.",Brasil,Pará,Parauapebas,-6.153611,-50.172222,2018
Steinchisma laxum (Sw.) Zuloaga,"Macedo, A",Queixada.,Brasil,Goiás,Jataí,-17.8813991546631,-51.7144012451172,2013
Steinchisma laxum (Sw.) Zuloaga,Gerrit Davidse|T.P. Ramamoorthy|Daniel M. Vital,"Chapada da Diamantina, along waterfall of the Rio Ferro Doido, ca. 21 km E of Morro do Chapéu.",Brazil,Bahia,,-11.65,-39.083333,
Steinchisma laxum (Sw.) Zuloaga,"Davidse, G- D'Arcy, WG",Ca. 3 km NE of Leopoldina along highway BR-116.,Brasil,Minas Gerais,Leopoldina,-21.5319004058838,-42.6431007385254,2013
Steinchisma laxum (Sw.) Zuloaga,"França, F- Melo, E",lagoa 1,Brasil,BA,Feira de Santana,-12.2666997909546,-38.9667015075684,05/2005
Steinchisma laxum (Sw.) Zuloaga,Richard Spruce,,Brazil,Pará,,,,
Steinchisma laxum (Sw.) Zuloaga,"Frazão, A.","Deodoro, Cultivado.&nf-Nota do EAC: observe que esse distrito federal não é o de Brasília, que foi fundada somente em 1960. O distrito nesse caso (da década de 30) refere-se ao estado do Rio de Janeiro.",Brasil,Rio de Janeiro,Rio de Janeiro,-22.9027996063232,-43.2075004577637,11/08/2011
Steinchisma laxum (Sw.) Zuloaga,"Martins, E- et al.","Estação IAC, região próxima ao riacho.",Brasil,São Paulo,Ubatuba,-23.42,-45.1275,2013
Steinchisma laxum (Sw.) Zuloaga,Gerrit Davidse|T.P. Ramamoorthy|Daniel M. Vital,Ca. 3 km NE of Leopoldina along Highway BR-116.,Brazil,Minas Gerais,,,,
Steinchisma laxum (Sw.) Zuloaga,"Pires, JM- Black",Utinga,Brasil,PA,Belém,-1.4558299779892,-48.5043983459473,05/2005
Steinchisma laxum (Sw.) Zuloaga,"Longhi-Wagner, HM- Witten",Pico do Penedo,Brasil,RJ,Penedo,,,05/2005
Steinchisma laxum (Sw.) Zuloaga,SARAHYBA,"Mun. Magé, antigua Fazenda da Fábrica de Papel (Faz. Padea Oca), pr. Rio Bananel.",Brazil,Rio de Janeiro,,,,2003
Steinchisma laxum (Sw.) Zuloaga,José Francisco Montenegro Valls,Em baixada entre as duas pontes sobre o rio Ibicuí.,Brasil,RS,URUGUAIANA,-29.7546997070312,-57.0882987976074,
Steinchisma laxum (Sw.) Zuloaga,"Macedo, A",Rio Corrente.,Brasil,Goiás,Jataí,-17.8813991546631,-51.7144012451172,2013
Steinchisma laxum (Sw.) Zuloaga,Antonio C. Allem|G. Vieira,Faz. Descalvados-Mun. Cáceres.,Brazil,Mato Grosso do Sul,,,,2003
Steinchisma laxum (Sw.) Zuloaga,"Klein, R.M.- Bresolin, A.",,Brasil,Santa Catarina,Presidente Getúlio,-27.0506000518799,-49.6227989196777,22/02/2017
Steinchisma laxum (Sw.) Zuloaga,Timothy C. Plowman|Gerrit Davidse|Nelson A. Rosa|Carlos S. Rosário|M.R. dos Santos,"Conçeicão do Araguaia, outskirts of town along road 2 km west of town along PA-287.",Brazil,Pará,Conceição do Araguaia,-8.25,-49.3,2003
Steinchisma laxum (Sw.) Zuloaga,"Jarenkow, JA",na margem do rio Uruguai (área a ser inundada pelas águas da represa de Itá ),Brasil,RS,Marcelino Ramos,-27.4617004394531,-51.9063987731934,05/2005
Steinchisma laxum (Sw.) Zuloaga,Nilo T. Silva,"Rio Jarí, Monte Dourado- área dos canteiros de germinção de Gemelina.",Brazil,Amazonas,,,,2003
Steinchisma laxum (Sw.) Zuloaga,"Janssen, AS","Humaitá, Margem de Rio Madeira, campo 4 e em lugares ruderais.",Brasil,Amazonas,Humaitá,-7.516667,-63.166667,06/2014
Steinchisma laxum (Sw.) Zuloaga,"Sendulsky, T",,Brasil,São Paulo,Matão,-21.6000003814697,-48.3600006103516,
Steinchisma laxum (Sw.) Zuloaga,"Davidse, G- D'Arcy, WG",Ca. 10 km of the Rio Doce at Governador Valadares. along highway BR-116.,Brasil,Minas Gerais,,,,2013
Steinchisma laxum (Sw.) Zuloaga,"Carvalho, DA- Vilela, EA",Rio Seco,Brasil,Minas Gerais,Ijaci,-21.1700000762939,-44.9253005981445,
Steinchisma laxum (Sw.) Zuloaga,"Rodrigues, RS- Filgueiras, TS- Kawakita, K",Ao lado de caixa d'água próximo ao Parque Municipal Sítio da Candinha.,Brasil,São Paulo,Guarulhos,-23.399889,-46.463583,29/01/2013
Steinchisma laxum (Sw.) Zuloaga,Antônio Costa Allem,"Km 10. Poconé - Porto Cercado, ao longo da Margem do Rio Bento Gomes.",Brasil,MT,POCONE,-16.2567005157471,-56.6227989196777,
Steinchisma laxum (Sw.) Zuloaga,"Gonçalves, FB",,Brasil,Sergipe,Itaporanga d'Ajuda,-10.998333,-37.310278,20/05/2015
Steinchisma laxum (Sw.) Zuloaga,"Silva, C- Turma de Florística- Fitossociologia 2011-I Prof Abe","Vale à direita do Morro do Pai Inácio, acesso pela estrada para o orquidário, encrave de mata atlãntica, cachoeira do Pai Inácio.",Brasil,Bahia,Palmeiras,-12.433333,-41.469722,
Steinchisma laxum (Sw.) Zuloaga,"Sendulsky, T",Fazenda Campininha,Brasil,SP,Mogi Guaçu,-22.372200012207,-46.9421997070312,05/2005
Steinchisma laxum (Sw.) Zuloaga,M. Schessl,"Municipaliyt of Poconé. Highway Poconé - Porto Cercado approx. at km. 16.9. Seasonally inundated grassy floodplain interspersed by earthmounds (""Campo de murunduns"").",Brazil,Mato Grosso do Sul,,-16.36666,-56.48333,2003
Steinchisma laxum (Sw.) Zuloaga,Antonio C. Allem|G. Vieira,Faz. Sant'Ana-Dist. Paiaguás-Mun. Corumbá. Grama-do carandazal.,Brazil,Mato Grosso do Sul,,,,2003
Steinchisma laxum (Sw.) Zuloaga,William R. Anderson,"Mun. Barr do Garças: Ca. 5 km N of Garra do Garças, at base of south face of mountain- cerrado, mesophytic woods and wet quartzite faces along stream and near waterfall.",Brazil,Mato Grosso do Sul,,,,2003
Steinchisma laxum (Sw.) Zuloaga,"Ducke, A.","Barra do Cocó, Diogo",Brasil,Ceará,Fortaleza,-3.71722006797791,-38.543098449707,10/05/2017
Steinchisma laxum (Sw.) Zuloaga,"Sendulsky, T","Parque Estadual das Fontes do Ipiranga, Reserva Biológica.",Brasil,São Paulo,São Paulo,-23.5400009155273,-46.6300010681152,2013
Steinchisma laxum (Sw.) Zuloaga,"Woolston, AL",Primavera.,Paraguai,San Pedro,Alto Paraguay,,,2013
Steinchisma laxum (Sw.) Zuloaga,"Howard S. Irwin|J.W. Grear, Jr.|R. Souza|R. Reis dos Santos","Wet campo, near Rio Piau, ca. 150 km. S.W. of Barreiras. (Drianage of thr Rio Corrente, Western Bahia)",Brazil,Bahia,,,,2003
Steinchisma laxum (Sw.) Zuloaga,G.Viana,"Margem do 2º riacho, Serra de Itabaiana.",Brasil,Sergipe,,,,1985
Steinchisma laxum (Sw.) Zuloaga,"Calderón, CE- Soderstrom, TR",At edge of town.,Brasil,Acre,Rio Branco,-9.9747200012207,-67.8099975585938,2013
Steinchisma laxum (Sw.) Zuloaga,"Killeen, T",20km W of San Ignácio on road to Concepción.,Bolívia,Santa Cruz,Velasco,-16,-61.25,2013
Steinchisma laxum (Sw.) Zuloaga,K.Kawakita,"rio Paraná, ilha Porto Rico, lagoa da Figueira",Brasil,Paraná,Porto Rico,-22.7721996307373,-53.2668991088867,09/2013
Steinchisma laxum (Sw.) Zuloaga,"Pires, JM","Maicurú, Campo do S. Francisco.",Brasil,Pará,,,,05/2014
Steinchisma laxum (Sw.) Zuloaga,"Rúgolo, Z- et al.","Camino de Palmas a Ubaldino Taques, a 19km de Palmas",Brasil,PR,,,,05/2005
Steinchisma laxum (Sw.) Zuloaga,"Rúgolo, Z- et al.",6km pasando Tibagi,Brasil,PR,Ponta Grossa,-25.0949993133545,-50.1618995666504,05/2005
Steinchisma laxum (Sw.) Zuloaga,Antonio C. Allem|G. Vieira,Km 44-MT3 (Transpantaneira) Mun. Poconé.,Brazil,Mato Grosso do Sul,,,,2003
Steinchisma laxum (Sw.) Zuloaga,"K.Kawakita- G.F.Pereira- Almeida, C.G.- K.Kawakita- Rodrigues, S.","rio Ivinhema, lagoa dos Patos",Brasil,Mato Grosso do Sul,Taquarussu,-22.821111,-53.556111,09/2013
Steinchisma laxum (Sw.) Zuloaga,Antônio Costa Allem,Fazenda Santo Estevão.,Brasil,MS,CORUMBA,-19.0091991424561,-57.6533012390137,
Steinchisma laxum (Sw.) Zuloaga,"Prance, GT","Rio Curuquetê, vicinity of Cachoeira Santo Antônio. Secondary growth around falls.",Brasil,Amazonas,,,,06/2014
Steinchisma laxum (Sw.) Zuloaga,Agnes Chase,Tigipio.,Brazil,Pernambuco,,,,2003
Steinchisma laxum (Sw.) Zuloaga,"Silva, TS",Ilha do Cardoso,Brasil,São Paulo,Cananéia,-25.0100002288818,-47.9199981689453,1997
Steinchisma laxum (Sw.) Zuloaga,M. Teixeira,"Limnha Barra das Contas, Mata ciliar do Rio Taquari.",Brasil,Rio Grande do Sul,Muçum,-29.227314,-52.407869,15/07/2015
Steinchisma laxum (Sw.) Zuloaga,"Heringer, EP",Termas do Rio Quente.,Brasil,Goiás,Caldas Novas,-17.74169921875,-48.625,2013
Steinchisma laxum (Sw.) Zuloaga,Glocimar Pereira-Silva,"Estrada Estreito - São Pedro dos Crentes, km 24.",Brasil,MA,ESTREITO,-6.6394444,-47.2575,
Steinchisma laxum (Sw.) Zuloaga,"Viana, G",Serra de Itabaiana,Brasil,Sergipe,Areia Branca,-10.4529,-37.1854,14/05/2015
Steinchisma laxum (Sw.) Zuloaga,"Faria, AD- et al.","Rodovia Antonio Giolo, acesso a Estreito",Brasil,São Paulo,Pedregulho,-20.25,-47.4700012207031,
Steinchisma laxum (Sw.) Zuloaga,Antônio Costa Allem,Fazenda Bodoquena. Carandazal.,Brasil,MS,CORUMBA,-19.0091991424561,-57.6533012390137,
Steinchisma laxum (Sw.) Zuloaga,"Mattos, J",,Brasil,RS,Alegrete,-29.7831001281738,-55.7919006347656,05/2005
Steinchisma laxum (Sw.) Zuloaga,"Milne, J.","Rio Paraná, margem",Brasil,Paraná,Porto Rico,-22.7721996307373,-53.2668991088867,09/2013
Steinchisma laxum (Sw.) Zuloaga,Tarciso S. Filgueiras|Fernando O. Zuloaga,"Sao Gabriel, campo de Murundus.",Brazil,Goiás,,-15.0003333,-47.0001666,2003
Steinchisma laxum (Sw.) Zuloaga,"Silva, TS","Retiro de Marimbondo, a 60 km da sede da Fazenda Bodoquena, no rumo N.",Brasil,Mato Grosso do Sul,Miranda,-20.2406005859375,-56.3782997131348,12/2002
Steinchisma laxum (Sw.) Zuloaga,Antônio Costa Allem,Fazenda Santa Lúcia.,Brasil,MT,BARAO DE MELGACO,,,
Steinchisma laxum (Sw.) Zuloaga,"Baptista, LRM- et al.",Estação Fitotécnica de Osório-Maquiné,Brasil,RS,Osório,-29.8866996765137,-50.2696990966797,10/11/2017
Steinchisma laxum (Sw.) Zuloaga,"Silva, TS",Fazenda Bodoquena.,Brasil,Mato Grosso do Sul,Miranda,-20.2406005859375,-56.3782997131348,2013
Steinchisma laxum (Sw.) Zuloaga,Antonio C. Allem|G. Vieira,Mato Grosso. Fazenda Sant'Ana-Paiaguás-Mun. Corumbá.,Brazil,,,,,2003
Steinchisma laxum (Sw.) Zuloaga,"Longhi-Wagner, HM- Citadini, V",Estação de Silvicultura Tropical INPA,Brasil,AM,Manaus,-3.10193991661072,-60.0250015258789,05/2005
Steinchisma laxum (Sw.) Zuloaga,T.S. da Silva,"Mato Grosso, Miranda, Fazenda Bodoquena,",Brazil,São Paulo,,,,2003
Steinchisma laxum (Sw.) Zuloaga,"Allem, A- Vieira, G",Fazenda Descalvado.,Brasil,Mato Grosso,Cáceres,-16.0706005096436,-57.6789016723633,2013
Steinchisma laxum (Sw.) Zuloaga,Lídio Coradin,"Rodovia Cuiabá - Santarém (BR - 163) entre Rurópolis e Santarém, km 125.",Brasil,PA,SANTAREM,-3.83333,-54.85,
Steinchisma laxum Sw.,"Tavares, S.",,Brasil,Pernambuco,Vitória de Santo Antão,-8.118056,-35.261389,11/08/2002
Steinchisma laxum (Sw.) Zuloaga,"Longhi-Wagner, HM- Cavalheiro, E",Ilha dos Marinheiros,Brasil,RS,Porto Alegre,-30.0331001281738,-51.2299995422363,05/2005
